epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3312,2.28134,4.17959,1.55801,0.12629,0.32339,0.1943,0.08714,1.92133,6.01408,1.2046,0.0669485,3.30846e-05,3.30846e-05
2,117.926,1.77783,1.7685,1.25157,0.62043,0.6819,0.61861,0.22456,1.89344,58.1739,1.17204,0.0336483,6.62187e-05,6.62187e-05
3,177.114,1.65276,1.41977,1.18957,0.81859,0.81189,0.85465,0.38184,1.60179,13.3857,1.01896,0.000347909,9.91527e-05,9.91527e-05
4,236.276,1.57684,1.21047,1.15065,0.8937,0.87387,0.92819,0.44923,1.5404,21.116,0.99364,9.91e-05,9.91e-05,9.91e-05
5,295.561,1.53931,1.0821,1.13981,0.89234,0.86884,0.91546,0.43502,1.55696,7.57413,0.98982,9.88e-05,9.88e-05,9.88e-05
6,354.79,1.51284,1.01491,1.12257,0.89156,0.85084,0.91291,0.43819,1.53674,1.18325,1.00188,9.85e-05,9.85e-05,9.85e-05
7,414.008,1.49921,0.96315,1.11826,0.92444,0.88707,0.94788,0.45937,1.52893,1.12698,0.98919,9.82e-05,9.82e-05,9.82e-05
8,473.255,1.49346,0.92777,1.11899,0.92182,0.90311,0.94198,0.47043,1.50792,2.02162,0.98503,9.79e-05,9.79e-05,9.79e-05
9,532.452,1.47512,0.89457,1.10348,0.94722,0.91647,0.95125,0.46441,1.51054,1.14387,0.98795,9.76e-05,9.76e-05,9.76e-05
10,591.659,1.46418,0.86243,1.10426,0.90506,0.89753,0.94155,0.44052,1.5847,12.3305,1.01377,9.73e-05,9.73e-05,9.73e-05
11,650.903,1.44725,0.83444,1.09851,0.9547,0.93872,0.96399,0.48574,1.48916,1.82599,0.98254,9.7e-05,9.7e-05,9.7e-05
12,710.335,1.42906,0.80431,1.08794,0.95024,0.90616,0.95876,0.49295,1.47678,13.977,0.9644,9.67e-05,9.67e-05,9.67e-05
13,769.779,1.42127,0.78664,1.09036,0.9547,0.93259,0.96127,0.48866,1.49876,1.31527,0.96916,9.64e-05,9.64e-05,9.64e-05
14,829.086,1.4181,0.77417,1.08636,0.95931,0.94097,0.9599,0.47349,1.53322,1.1861,1.00275,9.61e-05,9.61e-05,9.61e-05
15,888.272,1.40882,0.75545,1.0844,0.94557,0.96179,0.97164,0.50533,1.46011,2.45402,0.96868,9.58e-05,9.58e-05,9.58e-05
16,947.52,1.40368,0.74864,1.07696,0.96432,0.94122,0.96894,0.51643,1.44055,0.63522,0.95585,9.55e-05,9.55e-05,9.55e-05
17,1006.67,1.38952,0.72873,1.07836,0.96367,0.94174,0.97312,0.51691,1.43928,0.64237,0.95684,9.52e-05,9.52e-05,9.52e-05
18,1065.89,1.40207,0.72438,1.07752,0.92212,0.93626,0.95665,0.48805,1.48312,0.67058,0.98046,9.49e-05,9.49e-05,9.49e-05
